	ERR3585831_R1_filtered.fastq.gz	ERR3585834_R1_filtered.fastq.gz	ERR3585835_R1_filtered.fastq.gz	ERR3585837_R1_filtered.fastq.gz	ERR3585838_R1_filtered.fastq.gz	ERR3585840_R1_filtered.fastq.gz	ERR3585843_R1_filtered.fastq.gz	ERR3585844_R1_filtered.fastq.gz	ERR3585846_R1_filtered.fastq.gz
ASV_124	0	0	10	2	2	0	0	6	0
ASV_125	0	0	0	0	0	20	0	0	0
ASV_126	0	0	0	0	0	0	20	0	0
ASV_127	0	0	0	0	0	0	0	18	0
ASV_128	0	0	0	0	12	0	0	4	0
ASV_129	0	0	0	0	0	0	15	0	0
ASV_130	0	0	0	0	0	0	0	15	0
ASV_131	0	0	0	0	0	0	13	0	0
ASV_132	0	0	11	0	0	0	0	0	0
ASV_133	0	0	0	9	0	0	0	0	0
ASV_134	0	0	0	0	9	0	0	0	0
ASV_135	0	0	0	0	0	9	0	0	0
ASV_136	0	0	0	0	0	0	8	0	0
ASV_137	7	0	0	0	0	0	0	0	0
ASV_138	0	0	0	7	0	0	0	0	0
ASV_139	0	0	0	0	0	0	0	7	0
ASV_140	6	0	0	0	0	0	0	0	0
ASV_141	0	0	6	0	0	0	0	0	0
ASV_142	0	0	0	0	0	0	0	6	0
ASV_143	0	5	0	0	0	0	0	0	0
ASV_144	0	0	0	0	0	5	0	0	0
ASV_145	0	0	4	0	0	0	0	0	0
ASV_146	0	0	0	0	0	4	0	0	0
ASV_147	1	0	0	0	0	0	0	0	0
