	SRR21492517_R1_filtered.fastq.gz	SRR21492518_R1_filtered.fastq.gz	SRR21492519_R1_filtered.fastq.gz	SRR21492520_R1_filtered.fastq.gz	SRR21492521_R1_filtered.fastq.gz	SRR21492522_R1_filtered.fastq.gz	SRR21492523_R1_filtered.fastq.gz	SRR21492524_R1_filtered.fastq.gz	SRR21492525_R1_filtered.fastq.gz	SRR21492526_R1_filtered.fastq.gz	SRR21492527_R1_filtered.fastq.gz	SRR21492528_R1_filtered.fastq.gz	SRR21492529_R1_filtered.fastq.gz	SRR21492530_R1_filtered.fastq.gz	SRR21492531_R1_filtered.fastq.gz	SRR21492532_R1_filtered.fastq.gz	SRR21492533_R1_filtered.fastq.gz	SRR21492534_R1_filtered.fastq.gz	SRR21492535_R1_filtered.fastq.gz	SRR21492536_R1_filtered.fastq.gz	SRR21492537_R1_filtered.fastq.gz	SRR21492538_R1_filtered.fastq.gz	SRR21492539_R1_filtered.fastq.gz	SRR21492540_R1_filtered.fastq.gz	SRR21492541_R1_filtered.fastq.gz	SRR21492542_R1_filtered.fastq.gz	SRR21492543_R1_filtered.fastq.gz	SRR21492544_R1_filtered.fastq.gz	SRR21492545_R1_filtered.fastq.gz	SRR21492546_R1_filtered.fastq.gz	SRR21492547_R1_filtered.fastq.gz	SRR21492548_R1_filtered.fastq.gz	SRR21492549_R1_filtered.fastq.gz	SRR21492550_R1_filtered.fastq.gz	SRR21492551_R1_filtered.fastq.gz
ASV_675	0	0	0	0	0	0	0	0	0	0	0	0	142	107	0	0	0	35	0	0	0	38	0	37	0	19	38	16	0	0	70	0	0	0	0
ASV_676	33	14	17	0	0	0	33	60	0	25	42	0	0	0	0	0	14	0	41	0	0	35	0	0	0	19	48	13	25	27	22	0	32	0	0
ASV_677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0
ASV_678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	93	0	0	0	0	0	0	85	0	48	0	179	0	0	50	0	0	0	0
ASV_679	119	7	0	0	0	0	12	0	0	61	0	0	0	31	0	0	0	0	0	34	17	0	0	0	30	0	31	54	0	28	18	40	16	0	0
ASV_680	181	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0
ASV_681	22	39	21	0	0	0	34	15	0	30	0	0	0	60	20	0	0	0	0	0	0	0	0	0	33	41	0	0	97	0	33	28	25	0	0
ASV_682	27	23	37	0	0	0	69	6	0	6	21	0	17	4	0	21	0	0	43	0	0	18	0	23	26	16	0	35	8	0	0	51	46	0	0
ASV_683	38	21	16	0	0	0	42	7	0	0	0	0	19	17	29	8	17	29	0	11	29	0	0	13	15	91	25	0	0	0	7	51	11	0	0
ASV_684	47	8	13	0	0	0	45	7	11	10	0	0	14	16	45	8	0	25	0	35	17	20	0	8	20	0	43	21	0	17	34	13	18	0	0
ASV_685	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	43	0	0	355	0	0	0	0	0	58	0	0	0	0	0	0	0	0
ASV_686	37	0	24	0	0	0	16	15	18	12	0	0	0	0	0	0	17	8	22	20	43	19	0	16	11	24	60	20	26	26	0	30	30	0	0
ASV_687	12	0	35	0	0	0	0	27	37	0	16	0	0	0	0	76	0	0	23	0	0	0	0	0	0	0	23	56	89	82	18	0	0	0	0
ASV_688	7	9	0	0	0	0	17	0	9	19	0	0	0	0	22	129	0	44	0	25	122	9	0	0	0	0	0	0	7	37	21	15	0	0	0
ASV_689	0	13	0	0	0	0	50	15	13	0	0	0	0	0	44	0	0	0	0	0	21	44	0	0	0	22	38	49	27	0	113	0	43	0	0
ASV_690	10	43	11	0	0	0	11	47	0	27	0	0	0	0	58	0	0	26	0	0	0	13	0	0	0	36	17	7	120	0	0	55	10	0	0
ASV_691	22	0	0	0	0	0	11	25	68	0	30	0	0	0	14	0	0	43	0	0	14	22	0	0	0	63	144	21	0	0	0	0	12	0	0
ASV_692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_693	12	12	0	0	0	0	15	8	42	12	13	0	0	0	30	0	36	18	0	94	29	55	0	0	0	11	0	17	0	36	0	21	25	0	0
ASV_694	17	0	123	0	0	0	156	40	0	0	0	0	36	0	0	0	0	0	0	26	0	0	0	0	0	0	44	0	42	0	0	0	0	0	0
ASV_695	0	25	0	0	0	0	21	12	14	28	33	0	0	29	0	0	37	0	14	84	67	0	0	16	31	0	0	36	0	0	0	17	20	0	0
ASV_696	0	0	0	0	0	0	10	54	0	83	0	0	0	33	0	0	0	0	84	44	0	46	0	0	0	0	0	0	63	9	57	0	0	0	0
ASV_697	17	12	34	0	0	0	29	17	0	12	0	0	21	35	40	0	0	28	19	35	0	24	0	11	24	14	35	0	0	0	35	40	0	0	0
ASV_698	0	0	0	433	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_699	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_700	0	0	0	0	0	0	0	0	226	0	0	0	0	0	23	0	0	32	0	14	12	0	0	0	0	7	41	0	77	49	0	0	0	0	0
ASV_701	28	30	24	0	0	0	24	31	15	38	33	0	0	16	11	7	5	6	14	0	9	6	0	20	24	23	10	21	16	30	7	12	20	0	0
ASV_702	43	77	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	32	0	78	71	41	0	0	0	60	0	0	36	0	0	0	0	0	0
ASV_703	0	125	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	21	66	0	44	62	0	0	0	0	106	0	0
ASV_704	0	0	0	0	0	0	22	15	14	0	0	0	0	0	0	0	26	30	75	43	13	28	0	9	16	11	91	0	10	23	17	33	0	0	0
ASV_705	78	32	0	0	0	0	0	80	29	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0
ASV_706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	130	147	0	0	0	0	0	0	103	0	0
ASV_707	28	9	0	0	0	0	0	20	0	0	96	0	0	36	37	0	0	14	10	0	0	31	0	46	8	73	0	0	0	50	0	0	15	0	0
ASV_708	18	23	19	0	0	0	23	11	13	7	32	0	42	13	15	0	21	14	15	0	0	0	0	30	42	24	12	8	16	27	22	12	13	0	0
ASV_709	70	0	0	54	0	0	0	0	0	0	0	0	20	0	21	21	0	41	0	30	9	59	32	0	0	0	0	0	0	48	0	40	27	0	0
ASV_710	48	32	27	0	0	0	10	44	0	30	43	0	0	29	0	46	0	0	0	0	0	10	0	0	0	9	0	0	58	36	29	0	20	0	0
ASV_711	38	21	32	0	0	0	30	10	19	9	0	0	9	7	16	0	14	14	0	44	24	0	0	14	29	31	15	22	0	33	11	21	7	0	0
ASV_712	74	29	45	0	0	0	0	0	0	0	0	0	0	45	0	20	0	0	0	69	52	36	0	0	0	38	0	0	0	0	0	61	0	0	0
ASV_713	0	24	0	0	0	0	25	0	29	0	22	0	0	0	18	32	68	19	0	28	40	16	0	8	0	26	46	24	0	24	0	0	20	0	0
ASV_714	0	0	0	0	0	0	0	0	63	0	0	0	0	0	72	0	0	31	0	63	17	20	0	10	0	76	0	68	0	0	0	47	0	0	0
ASV_715	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	150	0	82	0	31	0	0	0	61	0	52	0	0	0	0	0	32	0	0	0
ASV_716	125	0	0	0	0	0	30	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	18	35	0	0	0	0	99	0	0
ASV_717	0	0	0	0	0	0	15	18	23	32	0	0	19	0	20	33	0	74	0	154	0	12	0	13	0	0	0	32	0	0	0	0	17	0	0
ASV_718	0	68	0	0	0	0	0	57	90	0	0	0	0	0	0	0	0	54	0	0	41	0	0	0	0	38	0	16	36	0	0	0	61	0	0
ASV_719	23	0	42	0	0	0	0	0	22	0	0	0	40	0	54	0	105	41	0	0	0	0	0	0	0	45	0	44	43	0	0	0	0	0	0
ASV_720	174	0	23	0	0	0	0	0	0	0	0	0	39	0	0	0	0	9	0	0	49	0	0	0	0	0	55	0	0	0	0	92	17	0	0
ASV_721	15	0	0	0	0	0	0	15	81	0	0	0	0	0	16	0	27	11	9	9	0	0	0	21	40	0	93	0	24	25	9	34	28	0	0
ASV_722	0	0	0	0	0	0	25	0	0	39	0	0	0	18	40	0	0	71	0	19	45	22	0	44	0	0	0	29	40	0	19	0	45	0	0
ASV_723	28	23	0	0	0	0	8	0	14	26	0	0	0	0	32	16	8	7	30	0	20	29	0	4	28	22	17	16	49	28	39	11	0	0	0
ASV_724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	218	0	80	0	0	0	0	0	0	0
ASV_725	22	0	19	0	0	0	0	51	0	38	0	0	23	48	0	32	0	0	0	0	130	0	0	0	45	0	0	0	0	0	0	42	0	0	0
ASV_726	0	138	58	0	0	0	0	0	0	0	81	0	0	30	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	88	0	0
ASV_727	82	0	0	0	0	0	0	37	0	0	70	0	0	91	27	0	0	10	0	22	9	30	0	0	0	0	0	0	15	0	0	56	0	0	0
ASV_728	57	0	27	0	0	0	10	0	0	8	56	0	0	0	95	13	0	0	24	0	0	39	0	0	31	43	0	45	0	0	0	0	0	0	0
ASV_729	0	32	0	0	0	0	32	0	11	0	0	0	50	0	7	21	44	31	0	13	17	9	0	0	11	40	87	16	0	0	0	14	13	0	0
ASV_730	5	5	6	0	0	0	53	0	0	0	2	0	0	0	0	0	0	0	8	184	6	4	0	159	0	0	0	6	4	0	5	0	0	0	0
ASV_731	0	0	53	0	0	0	45	0	0	0	24	0	41	0	0	105	72	0	0	0	0	0	0	60	0	0	0	46	0	0	0	0	0	0	0
ASV_732	0	0	12	0	0	0	21	0	0	0	0	0	0	0	28	45	19	157	0	20	0	40	0	0	0	22	35	12	11	0	7	0	16	0	0
ASV_733	21	9	19	0	0	0	0	6	14	11	13	0	12	57	25	0	0	0	8	13	29	0	0	41	7	39	0	27	0	22	32	39	0	0	0
ASV_734	49	0	0	0	0	0	0	0	0	0	0	0	0	40	24	31	45	0	0	0	0	100	0	15	0	44	41	0	53	0	0	0	0	0	0
ASV_735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	14	0	25	0	20	0	43	0	33	257	0	0	0	0	0	0	0	0
ASV_736	0	15	0	0	0	0	0	0	165	21	0	0	7	0	0	0	0	0	0	0	0	0	0	0	64	0	108	0	0	0	47	0	14	0	0
ASV_737	17	0	16	0	0	0	0	10	0	0	19	0	0	0	0	0	7	0	0	0	0	56	0	17	25	0	0	14	149	0	6	0	104	0	0
ASV_738	0	24	0	0	0	0	20	20	0	200	0	0	0	0	11	17	0	0	0	0	0	0	0	3	33	56	0	0	0	0	11	19	26	0	0
ASV_739	0	0	0	0	0	0	21	0	14	0	0	0	38	0	62	70	31	31	0	0	44	0	0	53	0	0	76	0	0	0	0	0	0	0	0
ASV_740	0	0	0	0	0	0	0	0	17	0	0	0	0	0	24	0	241	0	0	0	0	0	0	68	0	28	20	42	0	0	0	0	0	0	0
ASV_741	20	14	28	0	0	0	32	9	19	21	13	0	47	11	18	0	0	21	10	5	13	0	0	12	40	31	13	8	12	19	0	18	5	0	0
ASV_742	0	0	11	0	0	0	39	9	0	8	7	0	30	0	0	27	76	33	0	19	83	0	0	39	0	0	28	0	6	0	9	15	0	0	0
ASV_743	0	0	0	0	0	0	85	0	23	0	0	0	0	0	11	0	0	0	0	0	0	23	0	0	0	133	95	0	56	0	0	0	12	0	0
ASV_744	19	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	59	0	0	0	0	145	0	0	0	31	0	0	55	0	0	0	109	0	0
ASV_745	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_746	8	0	0	0	0	0	12	0	0	0	0	0	12	0	13	64	34	39	0	18	22	0	0	35	0	11	114	9	28	0	16	0	0	0	0
ASV_747	0	0	16	0	0	0	0	7	11	0	16	0	58	26	13	25	35	37	0	10	0	0	0	50	0	19	10	33	33	0	30	6	0	0	0
ASV_748	12	9	29	0	0	0	20	0	0	14	15	0	21	25	0	35	6	0	41	15	0	0	0	0	31	25	0	5	0	46	15	46	24	0	0
ASV_749	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	101	0	0	0	0	0	143	143	0	0	0	0	0	0	0	0
ASV_750	8	35	0	0	0	0	0	24	0	19	6	0	0	0	0	0	9	0	114	0	9	21	0	7	55	13	0	15	41	29	27	0	0	0	0
ASV_751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	31	0	0	0	0	56	148	0	51	0	0	0	61	0	0
ASV_752	38	57	75	0	0	0	0	14	29	0	0	0	0	0	0	28	24	0	25	0	52	43	0	0	0	0	0	7	0	0	0	0	37	0	0
ASV_753	0	0	14	0	0	0	0	0	0	26	0	0	0	40	0	0	139	0	14	0	71	24	0	0	0	0	0	0	0	101	0	0	0	0	0
ASV_754	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	9	12	0	0	330	0	0	0	0	0	6	7	27	27	0	0	0	0	0
ASV_755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	141	42	0	33	0	0	0	52	0	56	0	14	36	0	46	0	0	0	0
ASV_756	54	0	0	0	0	0	0	0	0	0	41	0	0	0	0	50	29	34	0	17	76	12	0	30	0	20	0	16	0	23	23	0	0	0	0
ASV_757	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	316	62	0	0
ASV_758	22	15	17	0	0	0	0	0	0	19	0	0	0	42	0	18	0	0	0	22	0	0	0	45	69	43	0	0	0	31	33	48	0	0	0
ASV_759	22	0	0	0	0	0	28	0	0	0	52	0	42	82	0	17	0	8	22	0	13	16	0	0	0	26	0	72	0	0	0	22	0	0	0
ASV_760	36	10	17	0	0	0	13	20	6	13	13	0	8	7	0	0	8	0	25	0	0	0	0	5	10	35	27	18	23	38	32	23	34	0	0
ASV_761	24	23	10	0	0	0	14	27	12	32	46	0	0	0	25	0	13	0	22	0	0	17	0	6	4	25	33	16	35	25	4	0	8	0	0
ASV_762	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	45	55	0	0	0	0	0	0	0
ASV_763	0	0	29	0	0	0	0	0	0	0	143	0	0	0	0	14	80	0	0	0	0	0	0	82	19	0	0	0	0	0	27	26	0	0	0
ASV_764	22	34	0	0	0	0	21	86	20	0	0	0	45	0	59	0	0	89	0	0	17	0	0	0	0	0	24	0	0	0	0	0	0	0	0
ASV_765	0	83	0	0	0	0	9	0	0	0	0	0	0	53	13	12	19	0	31	33	12	0	0	19	36	0	0	0	0	0	41	56	0	0	0
ASV_766	0	0	0	0	0	0	58	0	0	81	0	0	0	0	45	0	0	0	0	0	0	36	0	0	0	0	0	172	0	0	25	0	0	0	0
ASV_767	0	0	26	0	0	0	16	0	44	13	0	0	0	0	37	103	34	49	0	22	0	0	0	37	0	13	22	0	0	0	0	0	0	0	0
ASV_768	73	42	0	0	0	0	6	40	14	26	37	0	0	0	0	0	0	0	0	6	0	0	0	0	11	47	39	0	11	44	11	0	8	0	0
ASV_769	20	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	8	0	19	23	210	8	0	48	0	13	21	0	0	4	14	0	9	0	0
ASV_770	36	46	37	0	0	0	13	0	32	0	24	0	12	0	0	0	17	0	12	10	20	0	0	10	20	39	25	0	29	24	0	0	8	0	0
ASV_771	26	5	9	0	0	0	12	40	20	14	11	0	0	0	0	8	24	9	50	6	54	5	0	15	0	6	25	16	20	14	9	0	16	0	0
ASV_772	24	15	0	0	0	0	44	39	0	0	29	0	14	18	54	0	0	14	0	19	0	0	0	11	15	55	0	13	19	0	0	30	0	0	0
ASV_773	28	8	28	0	0	0	10	5	5	33	14	0	0	0	29	10	4	7	11	10	0	7	0	9	15	35	17	12	18	27	28	29	14	0	0
ASV_774	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	152	0	58	0	0	0	0	0	0	108	0	60	0	0	0	0
ASV_775	6	0	0	0	0	0	22	8	11	0	0	0	27	0	18	66	22	16	0	15	108	0	0	61	0	0	0	32	0	0	0	0	0	0	0
ASV_776	0	0	12	0	0	0	37	0	51	0	0	0	0	0	20	35	51	59	0	0	0	13	0	0	3	22	14	34	45	0	16	0	0	0	0
ASV_777	0	64	24	0	0	0	22	10	0	16	28	0	0	19	13	14	0	0	0	37	49	0	0	0	33	0	0	21	26	20	0	14	0	0	0
ASV_778	0	0	0	0	0	0	0	0	0	0	0	0	0	89	45	0	0	0	0	0	0	0	0	0	26	0	0	0	53	0	32	123	42	0	0
ASV_779	0	0	0	0	0	0	0	0	0	221	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0
ASV_780	42	0	45	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	78	0	134	50	0	14
ASV_781	0	9	0	0	0	0	19	0	0	70	0	0	0	0	0	0	0	0	0	42	0	0	0	15	0	151	37	33	0	0	0	32	0	0	0
ASV_782	0	144	0	0	0	0	55	0	64	0	0	0	0	0	41	0	0	0	0	24	0	0	4	21	0	0	0	0	52	0	0	0	0	0	0
ASV_783	0	26	0	0	0	0	17	0	0	6	15	0	0	0	22	46	0	0	36	13	0	12	0	17	26	8	0	24	17	32	62	0	26	0	0
ASV_784	0	0	0	0	0	0	85	0	0	10	0	0	29	53	48	12	0	40	0	0	12	0	0	0	0	0	75	0	18	23	0	0	0	0	0
ASV_785	50	49	18	0	0	0	0	17	0	0	0	0	0	0	10	31	0	0	0	0	10	0	0	0	33	23	17	34	27	40	31	13	0	0	0
ASV_786	15	9	10	0	0	0	0	13	0	6	18	0	244	0	32	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	28	7	0	0
ASV_787	10	31	26	0	0	0	0	0	27	0	42	0	21	71	0	0	0	0	12	44	0	0	0	27	44	19	0	27	0	0	0	0	0	0	0
ASV_788	0	0	73	0	0	0	29	0	0	14	16	0	0	80	45	19	0	0	0	0	27	0	0	28	0	0	0	0	70	0	0	0	0	0	0
ASV_789	0	0	26	0	0	0	0	0	0	3	0	0	105	110	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	8	96	0	0	0
ASV_790	0	0	38	0	0	0	0	0	26	0	0	0	0	0	0	54	8	0	0	0	69	62	0	0	30	46	0	0	0	0	43	22	0	0	0
ASV_791	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	215	124	14	0	0	0
ASV_792	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_793	48	33	40	0	0	0	0	0	0	0	0	0	0	0	0	26	14	0	0	0	47	0	0	23	0	0	93	0	0	71	0	0	0	0	0
ASV_794	14	0	49	0	0	0	0	0	18	0	0	0	28	0	129	0	0	0	0	83	43	0	0	0	0	0	0	31	0	0	0	0	0	0	0
ASV_795	10	27	59	0	0	0	34	0	7	0	0	0	0	87	27	0	8	0	26	8	0	24	0	0	0	22	0	0	0	0	0	0	53	0	0
ASV_796	35	7	23	0	0	0	11	70	0	9	12	0	82	31	24	18	0	0	0	0	0	0	0	13	7	5	19	0	0	0	4	16	5	0	0
ASV_797	38	53	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	48	163	0	15	0	0	0	0	0	0
ASV_798	44	0	15	0	0	0	28	61	10	16	12	0	18	0	13	34	8	0	0	10	0	13	0	0	0	0	44	6	14	13	23	9	0	0	0
ASV_799	0	0	0	0	0	0	11	0	5	0	0	0	33	0	0	10	14	35	0	0	33	20	0	11	0	33	21	0	0	31	16	84	32	0	0
ASV_800	36	7	73	0	0	0	16	13	7	36	9	0	8	5	8	0	0	31	0	22	7	0	0	7	5	31	13	8	10	14	0	13	9	0	0
ASV_801	19	0	0	0	0	0	0	28	0	53	0	0	0	0	0	0	21	19	33	13	0	0	0	0	14	0	79	0	13	0	43	0	51	0	0
ASV_802	0	0	0	0	0	0	0	0	38	0	0	0	0	36	54	0	34	0	0	0	0	0	0	0	0	0	0	150	73	0	0	0	0	0	0
ASV_803	21	27	24	0	0	0	27	31	0	13	26	0	0	0	0	0	10	0	32	0	0	0	0	0	25	33	26	0	18	0	20	34	17	0	0
ASV_804	41	15	0	0	0	0	0	16	0	0	0	0	0	20	0	43	0	0	20	63	0	0	0	0	42	0	0	0	0	30	29	64	0	0	0
ASV_805	0	0	0	0	0	0	49	0	0	0	0	0	0	0	34	0	28	0	0	0	17	0	0	0	0	89	56	10	24	0	75	0	0	0	0
ASV_806	71	0	0	0	0	0	43	0	0	20	0	0	0	155	0	0	0	40	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0
ASV_807	12	9	58	0	0	0	9	0	0	9	11	0	0	0	0	0	18	0	19	27	0	0	0	0	13	0	12	0	0	62	0	83	39	0	0
ASV_808	45	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	75	0	56	0	0	0	28	0	0	0	0	62	0	0	18	0	0
ASV_809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	170	0	0	0	0	0	0
ASV_810	26	13	15	0	0	0	9	5	9	13	0	0	0	10	5	20	0	0	10	52	31	11	2	10	10	28	19	8	18	8	9	38	0	0	0
ASV_811	19	0	0	0	0	0	21	12	38	8	0	0	0	0	62	29	0	14	15	27	26	23	0	7	28	0	0	0	32	0	11	7	0	0	0
ASV_812	45	13	31	0	0	0	8	69	0	0	10	0	0	16	0	0	0	0	0	14	0	0	0	8	16	23	47	0	0	37	0	0	41	0	0
ASV_813	62	30	0	0	0	0	8	0	20	0	0	0	0	0	0	0	49	24	0	45	0	45	0	16	0	35	0	23	0	21	0	0	0	0	0
ASV_814	8	9	26	0	0	0	14	10	19	0	27	0	0	13	0	10	0	6	8	0	0	13	0	14	21	20	27	19	23	40	8	12	30	0	0
ASV_815	0	0	104	0	0	0	0	24	19	28	100	0	0	30	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	0	0
ASV_816	25	0	54	0	0	0	19	15	7	32	36	0	0	0	14	0	11	0	0	56	0	0	0	36	0	25	23	0	0	20	0	0	0	0	0
ASV_817	26	0	0	0	0	0	0	0	0	0	0	0	127	0	66	0	0	0	0	0	0	0	0	40	0	0	0	0	0	92	0	22	0	0	0
ASV_818	0	0	0	0	0	0	184	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_819	101	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0
ASV_820	0	0	0	0	0	0	11	57	0	0	0	0	0	0	0	9	0	0	68	0	0	0	0	24	17	0	0	0	0	0	143	11	30	0	0
ASV_821	0	28	27	0	0	0	0	0	0	0	42	0	0	0	68	0	34	0	0	0	0	0	0	0	36	0	0	35	0	0	0	99	0	0	0
ASV_822	10	18	7	0	0	0	0	12	25	17	9	0	5	9	7	0	0	15	24	0	0	8	0	0	29	0	60	0	16	41	14	12	29	0	0
ASV_823	0	0	22	0	0	0	9	0	12	0	6	0	15	0	22	46	16	41	0	22	10	0	4	30	0	12	27	9	33	0	22	0	8	0	0
ASV_824	63	29	0	0	0	0	0	0	0	20	0	0	0	0	0	0	36	0	46	0	0	0	0	0	0	26	0	0	0	145	0	0	0	0	0
ASV_825	39	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	34	0	0	0	18	28	22	0	14	0	71	40	18	22	0	0
ASV_826	29	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	75	0	26	0	0	8	0	0	138	0	0	61	0	0	0	0
ASV_827	144	44	68	0	0	0	0	0	0	4	0	0	0	23	0	2	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_828	0	0	66	0	0	0	0	0	0	11	135	0	0	0	0	16	25	0	0	66	0	20	0	23	0	0	0	0	0	0	0	0	0	0	0
ASV_829	171	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	76	0	0	26	0	0	0	0	0	0
ASV_830	21	12	28	0	0	0	12	9	0	11	16	0	0	0	18	46	0	0	0	0	26	13	0	11	9	13	23	13	34	16	12	0	17	0	0
ASV_831	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	27	9	0	0	0	0	22	111	0	28	46	0	0	13	0	0
ASV_832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_833	22	0	0	0	0	0	0	0	0	0	0	0	41	0	0	68	0	27	0	69	42	0	0	0	0	90	0	0	0	0	0	0	0	0	0
ASV_834	72	23	0	0	0	0	16	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	9	0
ASV_835	8	0	0	0	0	0	0	9	0	0	0	0	19	32	0	28	0	30	0	31	0	0	0	24	0	40	70	22	26	0	0	0	18	0	0
ASV_836	0	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_837	49	39	0	0	0	0	120	0	0	65	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	34	26	0	0	0	0	0	0
ASV_838	5	12	4	0	0	0	9	4	0	0	14	0	16	0	10	0	34	0	112	28	5	15	0	0	0	29	14	0	6	3	26	0	9	0	0
ASV_839	7	66	21	0	0	0	0	35	0	10	28	0	10	0	0	0	0	7	0	38	25	19	0	0	19	0	0	0	0	0	59	0	11	0	0
ASV_840	17	132	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	111	0	2	0	0	0	0	0	0	43	0	0	0	0	0
ASV_841	2	0	11	0	0	0	33	0	6	0	0	0	10	16	0	29	4	45	0	17	4	0	0	30	0	12	20	27	43	0	38	6	0	0	0
ASV_842	0	37	0	0	0	0	49	19	13	40	0	0	0	30	0	0	0	0	0	26	7	0	0	0	0	53	17	0	17	16	0	0	29	0	0
ASV_843	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	34	31	0	0	26	0	0	0	40	0	0	57	41	21	0	0
ASV_844	194	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_845	21	49	14	0	0	0	4	25	7	6	0	0	13	0	16	10	0	50	0	23	8	8	0	0	18	12	10	0	11	9	25	0	12	0	0
ASV_846	19	0	44	0	0	0	0	0	17	0	0	0	19	0	25	0	0	11	0	24	19	0	0	0	0	49	0	39	0	0	18	35	32	0	0
ASV_847	0	0	0	0	0	0	24	0	0	54	18	0	0	0	0	0	0	0	45	47	0	25	0	11	0	0	0	18	67	42	0	0	0	0	0
ASV_848	10	0	6	0	0	0	8	0	51	5	0	0	11	0	12	0	0	20	0	13	0	96	0	8	0	0	66	29	0	0	15	0	0	0	0
