	SRR21492517_R1_filtered.fastq.gz	SRR21492518_R1_filtered.fastq.gz	SRR21492519_R1_filtered.fastq.gz	SRR21492520_R1_filtered.fastq.gz	SRR21492521_R1_filtered.fastq.gz	SRR21492522_R1_filtered.fastq.gz	SRR21492523_R1_filtered.fastq.gz	SRR21492524_R1_filtered.fastq.gz	SRR21492525_R1_filtered.fastq.gz	SRR21492526_R1_filtered.fastq.gz	SRR21492527_R1_filtered.fastq.gz	SRR21492528_R1_filtered.fastq.gz	SRR21492529_R1_filtered.fastq.gz	SRR21492530_R1_filtered.fastq.gz	SRR21492531_R1_filtered.fastq.gz	SRR21492532_R1_filtered.fastq.gz	SRR21492533_R1_filtered.fastq.gz	SRR21492534_R1_filtered.fastq.gz	SRR21492535_R1_filtered.fastq.gz	SRR21492536_R1_filtered.fastq.gz	SRR21492537_R1_filtered.fastq.gz	SRR21492538_R1_filtered.fastq.gz	SRR21492539_R1_filtered.fastq.gz	SRR21492540_R1_filtered.fastq.gz	SRR21492541_R1_filtered.fastq.gz	SRR21492542_R1_filtered.fastq.gz	SRR21492543_R1_filtered.fastq.gz	SRR21492544_R1_filtered.fastq.gz	SRR21492545_R1_filtered.fastq.gz	SRR21492546_R1_filtered.fastq.gz	SRR21492547_R1_filtered.fastq.gz	SRR21492548_R1_filtered.fastq.gz	SRR21492549_R1_filtered.fastq.gz	SRR21492550_R1_filtered.fastq.gz	SRR21492551_R1_filtered.fastq.gz
ASV_31	455	29	202	0	0	0	29	43	68	838	0	0	3166	162	134	222	140	278	0	31	912	32	0	228	23	735	134	71	626	86	516	382	48	0	0
ASV_32	302	694	256	0	0	0	189	592	0	424	34	0	246	202	0	155	0	517	762	170	1121	46	0	0	1256	71	0	96	0	0	604	1239	589	0	0
ASV_33	1992	615	53	0	0	0	57	737	860	332	53	2	140	215	0	246	92	506	0	419	643	46	0	94	0	132	235	113	667	0	0	463	498	4	0
ASV_34	799	47	1290	0	0	0	349	71	0	606	236	9	0	1104	222	57	14	423	272	200	0	0	10	138	463	328	600	0	73	650	0	851	371	0	0
ASV_35	0	0	0	0	0	0	0	1329	741	874	0	0	0	0	0	0	0	0	0	285	787	2338	0	1206	0	0	1123	0	0	0	0	400	0	0	0
ASV_36	395	0	1458	0	0	0	134	175	0	75	119	0	403	701	71	144	59	159	262	0	19	0	0	0	365	3085	0	32	58	303	235	278	480	0	0
ASV_37	1526	24	113	0	0	0	15	0	56	62	310	0	0	197	782	2755	0	71	0	79	350	216	20	781	0	331	180	10	134	0	680	80	21	0	0
ASV_38	808	128	173	0	0	0	84	119	164	86	511	0	180	541	456	51	433	643	468	78	196	0	0	142	888	375	437	174	96	825	69	0	506	0	0
ASV_39	187	635	473	0	0	0	614	186	312	298	453	0	299	552	173	199	312	152	137	241	148	226	0	65	238	666	218	182	18	233	233	732	171	0	0
ASV_40	57	94	0	0	0	0	749	42	158	827	0	0	0	117	0	75	864	3927	0	0	343	0	0	0	144	92	0	0	58	0	107	299	109	0	0
