	568_4_R1_filtered.fastq.gz	568_5_R1_filtered.fastq.gz	581_5_R1_filtered.fastq.gz	611_5_R1_filtered.fastq.gz	E03_5_R1_filtered.fastq.gz	E05_5_R1_filtered.fastq.gz	E1_4_R1_filtered.fastq.gz	E1_5_R1_filtered.fastq.gz	E2_4_R1_filtered.fastq.gz	E2_5_R1_filtered.fastq.gz	E3_4_R1_filtered.fastq.gz	E3_5_R1_filtered.fastq.gz	Neg1_S148_R1_filtered.fastq.gz	Neg2_S249_R1_filtered.fastq.gz	SRR19856781_R1_filtered.fastq.gz	SRR19856782_R1_filtered.fastq.gz	G196_III_R1_filtered.fastq.gz	G196_IV_R1_filtered.fastq.gz	G196_V_R1_filtered.fastq.gz	G197_III_R1_filtered.fastq.gz	G197_IV_R1_filtered.fastq.gz	G197_V_R1_filtered.fastq.gz	G198_III_R1_filtered.fastq.gz	G198_V_R1_filtered.fastq.gz	G199_III_R1_filtered.fastq.gz	G199_IV_R1_filtered.fastq.gz	G199_V_R1_filtered.fastq.gz	G200_III_R1_filtered.fastq.gz	G200_IV_R1_filtered.fastq.gz	G200_V_R1_filtered.fastq.gz	G201_III_R1_filtered.fastq.gz	SRR17060822_R1_filtered.fastq.gz	SRR17060823_R1_filtered.fastq.gz	SRR17060825_R1_filtered.fastq.gz	SRR17060826_R1_filtered.fastq.gz	SRR17060827_R1_filtered.fastq.gz	SRR17060828_R1_filtered.fastq.gz	SRR17060829_R1_filtered.fastq.gz	SRR17060839_R1_filtered.fastq.gz	SRR17060840_R1_filtered.fastq.gz	SRR17060841_R1_filtered.fastq.gz	SRR17060842_R1_filtered.fastq.gz	SRR17060843_R1_filtered.fastq.gz	SRR17060844_R1_filtered.fastq.gz	SRR17060845_R1_filtered.fastq.gz	SRR17060816_R1_filtered.fastq.gz	SRR17060817_R1_filtered.fastq.gz	SRR17060818_R1_filtered.fastq.gz	SRR17060819_R1_filtered.fastq.gz	SRR17060820_R1_filtered.fastq.gz	SRR17060821_R1_filtered.fastq.gz	SRR17060824_R1_filtered.fastq.gz	SRR17060830_R1_filtered.fastq.gz	SRR17060831_R1_filtered.fastq.gz	SRR17060832_R1_filtered.fastq.gz	SRR17060833_R1_filtered.fastq.gz	SRR17060834_R1_filtered.fastq.gz	SRR17060835_R1_filtered.fastq.gz	SRR17060836_R1_filtered.fastq.gz	SRR17060837_R1_filtered.fastq.gz	SRR17060838_R1_filtered.fastq.gz	SRR17060846_R1_filtered.fastq.gz	SRR17060847_R1_filtered.fastq.gz
ASV_12	6521	578	367	67	115	1785	11179	1007	489	398	992	102	0	0	761	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	11281	1024	727	279	142	1228	1207	1135	528	591	1516	878	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	6082	0	37	2463	0	0	0	11	1058	0	2890	5949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1235	0	0	0	45	2722	2358	180	36	565	0	899	1496	192	940	520	2150	267	0	0	883	153	0	3611	0	0	0	146	20
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	74	9990	0	28	1434	0	1776	0	251	1414	6	1883	1239	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	21	0	0	0	0	0	58	56	19	61	0	32	35	437	2328	0	2034	1191	2698	0	50	523	1517	0	86	0	0	0	1068	4056
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1139	0	0	0	68	3495	3274	141	19	577	0	280	59	84	1432	639	1166	236	12	0	502	117	0	2509	0	0	0	121	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	3092	2660	299	2503	2750	1283	0	0	1138	1089	0	0	0	0	0	0	0
ASV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	241	127	103	0	0	13	280	799	24	847	644	1544	0	0	313	798	0	46	0	0	0	7429	1087
ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	4311	0	0	49	0	3118	11	18	825	0	3202	2320	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	4137	0	23	3887	0	908	0	0	738	0	1597	2213	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	9011	0	0	4168	0	0	0
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	5774	0	29	2185	0	948	14	12	737	0	1542	1651	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	34	5624	0	21	2143	0	3459	8	7	897	0	145	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1925	0	17	4262	0	1752	0	115	2482	0	709	1051	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	74	0	19	0	0	21	0	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	30	72	96	483	13	2992	5218	1495	101	296	252	396	455	144	0	56
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	4020	0	0	210	0	3242	0	19	1741	0	994	1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10783	0	4	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	3732	0	18	1443	0	4082	0	0	468	0	433	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
ASV_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	174	0	0	725	25	8720	0	0
ASV_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	1659	1892	198	1474	1706	843	0	0	737	767	0	0	0	0	0	0	0
ASV_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2475	0	10	320	0	3321	0	144	337	0	1737	1077	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	3412	0	11	652	0	2362	12	20	879	0	754	946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	14	0	147	0	63	0	0	0	0	0	0
ASV_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	9165	0	0
ASV_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1257	7910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5871	0	0	3231	0	0	0
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	109	50	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	0	202	0	5031	0	0	397	0	2279	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	87	719	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	11	3846	0	1791	0	0	44	7	1086	0	0
ASV_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5425	0	0	3185	0	0	0
