	SRR17060816_R1_filtered.fastq.gz	SRR17060817_R1_filtered.fastq.gz	SRR17060818_R1_filtered.fastq.gz	SRR17060819_R1_filtered.fastq.gz	SRR17060820_R1_filtered.fastq.gz	SRR17060821_R1_filtered.fastq.gz	SRR17060824_R1_filtered.fastq.gz	SRR17060830_R1_filtered.fastq.gz	SRR17060831_R1_filtered.fastq.gz	SRR17060832_R1_filtered.fastq.gz	SRR17060833_R1_filtered.fastq.gz	SRR17060834_R1_filtered.fastq.gz	SRR17060835_R1_filtered.fastq.gz	SRR17060836_R1_filtered.fastq.gz	SRR17060837_R1_filtered.fastq.gz	SRR17060838_R1_filtered.fastq.gz	SRR17060846_R1_filtered.fastq.gz	SRR17060847_R1_filtered.fastq.gz
ASV_95	505	131	0	105	6	0	0	0	0	0	0	0	1049	0	0	0	0	0
ASV_96	0	0	0	0	0	0	0	0	0	0	0	1574	0	0	128	0	0	0
ASV_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1691	0	0
ASV_98	0	0	0	0	0	0	0	0	0	0	0	783	0	0	898	0	0	0
ASV_99	465	102	17	46	0	0	0	0	0	0	0	0	1040	0	0	0	0	0
ASV_100	64	0	0	1066	0	0	0	0	0	0	0	0	538	0	0	0	0	0
ASV_101	0	0	0	0	0	0	0	0	0	0	0	713	0	0	942	0	0	0
ASV_102	0	0	0	0	0	0	0	0	653	0	0	0	0	595	0	398	0	0
ASV_103	0	0	0	0	0	0	75	0	672	40	678	0	0	0	0	169	0	0
ASV_104	0	0	0	0	0	0	0	0	0	0	0	1024	0	0	587	0	0	0
ASV_105	0	0	150	21	685	172	239	0	0	61	122	0	0	0	0	0	74	81
ASV_106	0	0	0	65	127	845	117	0	0	431	0	0	0	0	0	0	0	0
ASV_107	0	0	18	0	55	111	476	0	0	85	193	0	0	0	0	0	486	131
ASV_108	0	15	1074	0	0	152	49	0	0	93	37	0	0	0	0	0	109	0
ASV_109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1520	0	0
ASV_110	0	0	0	0	0	0	0	0	0	0	0	1032	0	0	471	0	0	0
ASV_111	0	58	76	3	195	142	157	0	0	57	93	0	9	0	0	0	97	608
ASV_112	0	0	0	0	0	0	0	0	1231	0	0	0	0	260	0	0	0	0
ASV_113	0	0	0	0	936	119	119	0	0	55	85	0	0	0	0	0	33	125
ASV_114	0	0	0	25	180	491	195	0	0	200	122	0	74	0	0	0	157	0
ASV_115	0	0	0	1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_116	0	0	0	0	0	0	0	0	1434	0	0	0	0	0	0	0	0	0
ASV_117	650	141	0	278	0	0	0	0	0	0	0	0	355	0	0	0	0	0
ASV_118	0	0	0	0	0	0	56	0	691	3	352	0	0	0	8	308	0	0
ASV_119	0	0	0	0	0	0	0	0	0	0	0	1006	0	0	412	0	0	0
ASV_120	0	71	626	0	0	105	193	0	0	0	113	0	0	0	0	0	48	207
ASV_121	0	0	0	0	0	0	0	0	0	0	0	852	0	0	505	0	0	0
ASV_122	0	0	0	0	0	0	0	0	0	0	0	783	0	0	530	0	0	0
ASV_123	241	30	6	432	0	0	0	0	0	0	0	0	574	0	0	0	0	0
ASV_124	0	0	0	0	0	0	0	0	0	0	0	817	0	0	463	0	0	0
ASV_125	0	0	0	0	0	0	68	0	0	0	219	0	0	0	0	967	0	0
ASV_126	1034	199	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV_127	0	0	0	0	0	0	0	0	0	0	0	1163	0	0	72	0	0	0
ASV_128	1017	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_129	53	0	0	61	0	0	0	0	0	0	0	0	1077	0	0	0	0	0
ASV_130	0	254	0	0	0	0	0	0	52	0	393	0	0	91	9	389	0	0
ASV_131	0	0	0	0	0	465	275	0	0	168	280	0	0	0	0	0	0	0
ASV_132	0	0	0	93	0	0	2	0	0	0	0	0	1081	0	4	0	0	0
ASV_133	101	28	0	553	0	0	0	0	0	0	0	0	492	0	0	0	0	0
ASV_134	0	0	0	0	0	0	0	0	0	0	0	994	0	0	180	0	0	0
ASV_135	0	0	0	5	3	27	0	159	428	209	6	154	13	48	114	0	0	0
ASV_136	0	0	0	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0
ASV_137	61	13	0	99	0	0	0	0	0	0	0	0	985	0	0	0	0	0
ASV_138	0	0	0	0	0	0	0	0	0	0	0	687	0	0	469	0	0	0
ASV_139	53	0	0	394	0	0	0	0	0	0	0	0	699	0	0	0	0	0
ASV_140	0	0	640	6	103	79	26	0	0	22	0	0	79	0	0	0	153	37
ASV_141	0	0	0	0	0	0	0	9	0	0	0	660	0	0	450	0	0	0
ASV_142	93	67	0	0	235	132	103	0	89	87	96	0	50	0	0	0	84	72
ASV_143	0	0	0	0	0	0	0	0	0	0	0	924	0	0	164	0	0	0
ASV_144	0	0	0	0	0	0	0	0	0	0	0	0	1035	0	0	0	0	0
ASV_145	858	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_146	0	0	21	102	258	309	43	0	0	127	39	0	0	0	0	0	85	0
ASV_147	0	0	0	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_148	798	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_149	0	0	0	0	0	0	39	0	0	0	208	0	0	0	0	694	0	0
ASV_150	0	0	0	505	0	0	0	0	0	0	0	0	430	0	0	0	0	0
ASV_151	226	43	0	67	0	0	0	0	0	0	0	0	595	0	0	0	0	0
ASV_152	0	0	0	0	0	0	0	0	0	0	0	754	0	0	173	0	0	0
ASV_153	15	63	229	0	83	89	143	0	0	41	95	0	0	0	0	0	42	122
ASV_154	0	0	0	0	0	0	0	0	0	0	0	653	0	0	255	0	0	0
ASV_155	0	0	0	153	159	127	0	0	0	0	0	0	233	0	0	0	147	84
ASV_156	0	0	0	0	0	0	0	0	0	0	0	451	0	0	411	0	0	0
ASV_157	0	0	0	0	0	0	0	0	0	0	0	579	0	0	274	0	0	0
ASV_158	0	0	0	0	0	0	0	0	0	0	0	450	0	0	381	0	0	0
ASV_159	109	22	8	152	0	0	0	0	0	0	0	0	534	0	0	0	0	0
ASV_160	0	9	14	0	0	149	199	0	0	49	125	0	15	0	0	0	58	199
ASV_161	0	0	0	0	18	37	84	0	0	34	54	0	15	0	0	0	69	500
ASV_162	0	0	0	486	3	0	0	0	0	0	0	0	305	0	0	0	0	0
ASV_163	0	0	0	0	0	0	0	0	0	0	0	614	0	0	174	0	0	0
ASV_164	0	0	0	0	0	0	0	0	669	0	66	0	0	0	0	52	0	0
ASV_165	0	0	0	0	0	0	0	0	0	0	0	459	0	0	319	0	0	0
ASV_166	0	0	0	0	0	0	0	0	0	0	0	0	0	767	0	0	0	0
ASV_167	0	0	0	0	0	0	0	0	0	0	0	510	0	0	256	0	0	0
ASV_168	0	0	0	317	0	144	86	0	0	0	0	0	217	0	0	0	0	0
ASV_169	0	0	0	0	0	0	0	0	0	0	0	503	0	0	258	0	0	0
ASV_170	625	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_171	0	0	0	0	0	0	0	0	0	0	0	548	0	0	197	0	0	0
ASV_172	0	0	0	89	58	292	0	0	0	125	0	0	178	0	0	0	0	0
ASV_173	52	0	0	584	0	0	0	0	0	0	0	0	102	0	0	0	0	0
ASV_174	0	0	0	0	0	0	109	0	0	0	626	0	0	0	0	0	0	0
ASV_175	0	0	90	0	0	181	194	0	0	51	109	0	27	0	0	0	55	24
ASV_176	0	0	0	0	0	0	0	0	0	0	0	300	0	0	424	0	0	0
ASV_177	0	0	0	123	91	107	54	0	0	76	0	0	181	0	0	0	85	0
ASV_178	94	8	0	203	0	0	0	0	0	0	0	0	410	0	0	0	0	0
ASV_179	0	0	0	0	0	0	0	0	0	0	0	470	0	0	238	0	0	0
ASV_180	205	30	0	259	0	0	0	0	0	0	0	0	212	0	0	0	0	0
ASV_181	124	36	213	91	0	0	0	0	0	0	0	0	162	0	0	0	15	63
ASV_182	0	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_183	25	0	0	21	0	0	0	0	0	0	0	0	630	0	0	0	0	0
ASV_184	0	80	96	0	141	57	61	0	0	0	33	0	0	0	0	0	63	143
ASV_185	0	0	0	0	4	15	0	123	403	97	2	0	12	0	0	0	0	0
ASV_186	0	0	0	0	0	0	81	0	0	0	484	0	0	0	0	26	0	51
ASV_187	191	26	4	85	0	0	0	0	0	0	0	0	334	0	0	0	0	0
ASV_188	0	0	0	225	0	0	0	0	0	0	0	0	409	0	0	0	0	0
ASV_189	0	0	0	0	0	0	0	0	0	0	0	547	0	0	83	0	0	0
ASV_190	0	0	40	0	146	0	0	0	0	0	0	0	0	0	0	0	79	363
ASV_191	0	0	0	0	0	0	0	0	0	0	0	290	0	0	332	0	0	0
ASV_192	65	7	0	395	0	0	0	0	0	0	0	0	153	0	0	0	0	0
ASV_193	0	0	0	0	0	0	49	0	90	0	355	0	0	14	0	95	0	0
ASV_194	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_195	29	0	4	445	0	0	0	0	0	0	0	0	107	0	0	0	0	0
ASV_196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0
ASV_197	0	0	0	0	0	0	0	0	0	0	0	363	0	0	204	0	0	0
ASV_198	0	0	0	456	0	0	0	0	0	0	0	0	109	0	0	0	0	0
ASV_199	0	0	0	0	0	0	0	0	0	0	0	446	0	0	119	0	0	0
ASV_200	37	143	0	0	139	0	0	0	0	0	0	0	51	13	0	11	126	38
ASV_201	0	0	0	0	256	295	0	0	0	0	0	0	0	0	0	0	0	0
ASV_202	0	0	0	0	0	0	0	0	0	0	0	209	0	0	326	0	0	0
ASV_203	0	0	46	98	0	0	0	0	0	0	0	0	386	0	0	0	0	0
ASV_204	0	0	0	0	0	0	0	0	0	0	0	393	0	0	135	0	0	0
ASV_205	270	41	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0
ASV_206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525
ASV_207	0	0	0	98	71	88	48	0	0	110	0	0	51	0	0	0	57	0
ASV_208	11	0	0	470	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV_209	0	0	0	0	0	0	0	0	0	0	0	360	0	0	148	0	0	0
ASV_210	0	0	0	0	0	0	0	0	0	0	0	0	504	0	0	0	0	0
ASV_211	0	0	0	34	0	0	0	0	0	17	0	0	447	0	0	0	0	0
ASV_212	0	0	0	0	0	0	0	0	0	0	0	279	0	0	215	0	0	0
ASV_213	0	0	0	116	102	89	0	0	0	0	0	0	103	0	0	0	76	0
ASV_214	0	0	0	431	0	0	0	0	0	0	0	0	45	0	0	0	0	0
ASV_215	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0
ASV_216	0	0	0	0	0	0	0	0	0	0	0	350	0	0	121	0	0	0
ASV_217	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_218	0	0	0	60	63	61	0	0	0	0	0	0	128	0	0	0	89	66
ASV_219	0	0	0	389	0	0	0	0	0	0	0	0	73	0	0	0	0	0
ASV_220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0
ASV_221	60	0	0	148	0	0	0	0	0	0	0	0	242	0	0	0	0	0
ASV_222	12	214	9	11	48	0	0	0	30	0	0	0	26	0	0	0	82	17
ASV_223	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	412	0	0
ASV_224	376	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_225	8	0	0	14	97	0	0	0	21	0	0	0	162	0	0	134	0	0
ASV_226	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_227	347	58	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_228	33	0	0	125	0	0	0	0	0	0	0	0	274	0	0	0	0	0
ASV_229	0	18	80	0	33	68	146	0	0	22	60	0	0	0	0	0	0	0
ASV_230	0	0	0	0	0	0	0	0	0	0	0	312	0	0	114	0	0	0
ASV_231	0	17	31	0	49	51	50	0	0	0	0	0	10	0	0	0	39	172
ASV_232	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0
ASV_233	0	0	0	9	0	37	0	0	0	8	0	0	352	0	0	0	0	0
ASV_234	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0
ASV_235	98	13	0	180	0	0	0	0	0	0	0	0	112	0	0	0	0	0
ASV_236	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_237	48	3	0	193	0	0	0	0	0	0	0	0	154	0	0	0	0	0
ASV_238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0
ASV_239	73	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0
ASV_240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0
ASV_241	28	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_242	0	0	0	0	0	0	0	0	0	0	0	236	0	0	147	0	0	0
ASV_243	0	0	0	105	0	0	0	0	0	0	0	0	277	0	0	0	0	0
ASV_244	0	0	0	0	0	0	0	0	0	0	0	269	0	0	105	0	0	0
ASV_245	0	0	0	0	0	0	0	95	180	32	0	11	14	6	27	7	0	0
ASV_246	169	21	0	24	0	0	0	0	0	0	0	0	157	0	0	0	0	0
ASV_247	0	0	0	0	0	0	49	0	0	0	322	0	0	0	0	0	0	0
ASV_248	0	0	0	355	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV_249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0
ASV_250	0	0	0	0	0	0	0	0	0	0	0	208	0	0	158	0	0	0
ASV_251	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	46	157
ASV_252	0	0	0	0	0	0	0	0	0	0	0	275	0	0	88	0	0	0
ASV_253	0	0	0	256	0	0	0	0	0	0	0	0	102	0	0	0	0	0
ASV_254	0	0	0	44	0	114	0	0	0	0	0	0	199	0	0	0	0	0
ASV_255	0	0	0	0	0	0	0	0	0	0	0	150	0	0	205	0	0	0
ASV_256	0	0	40	0	5	52	32	0	0	9	22	0	27	0	0	0	139	28
ASV_257	130	19	0	156	0	0	0	0	0	0	0	0	44	0	0	0	0	0
ASV_258	0	0	0	0	0	0	0	0	0	0	0	221	0	0	122	0	0	0
ASV_259	65	0	0	110	0	0	0	0	0	0	0	0	80	0	0	0	85	0
ASV_260	54	6	0	189	0	0	0	0	0	0	0	0	91	0	0	0	0	0
ASV_261	0	0	0	0	0	0	0	0	0	0	0	109	0	0	231	0	0	0
ASV_262	0	0	0	0	0	0	0	0	0	0	0	262	0	0	77	0	0	0
ASV_263	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0
ASV_264	44	8	0	61	0	0	0	0	0	0	0	0	210	0	0	0	0	0
ASV_265	24	15	0	148	0	0	0	0	0	12	0	0	124	0	0	0	0	0
ASV_266	0	0	0	0	152	171	0	0	0	0	0	0	0	0	0	0	0	0
ASV_267	0	0	0	294	0	0	0	0	0	0	0	0	28	0	0	0	0	0
ASV_268	0	0	0	0	0	0	0	0	0	0	0	132	0	0	185	0	0	0
ASV_269	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	287	0
ASV_270	0	0	0	147	0	0	0	0	0	0	0	0	169	0	0	0	0	0
ASV_271	0	0	4	0	0	15	0	48	131	46	0	26	22	10	13	0	0	0
ASV_272	0	0	0	0	0	0	0	0	0	0	0	192	0	0	122	0	0	0
ASV_273	0	0	49	0	0	0	68	0	0	0	0	0	0	0	0	0	36	160
ASV_274	138	27	0	42	0	0	0	0	0	0	0	0	105	0	0	0	0	0
ASV_275	0	0	0	0	0	0	0	0	46	0	132	0	0	0	0	134	0	0
ASV_276	0	0	0	0	0	0	0	0	0	0	0	251	0	0	58	0	0	0
ASV_277	0	0	0	0	0	0	0	0	0	0	0	198	0	0	111	0	0	0
ASV_278	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0
ASV_279	0	0	0	0	0	0	15	0	0	0	110	0	0	0	0	181	0	0
ASV_280	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0
ASV_281	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	160	0	0
ASV_282	0	0	0	17	0	0	0	0	0	0	0	0	283	0	0	0	0	0
ASV_283	254	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_284	157	102	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_285	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_286	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0
ASV_287	0	0	0	0	0	0	0	14	206	33	7	0	9	10	8	9	0	0
ASV_288	173	43	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_289	35	46	0	80	62	66	0	0	0	0	0	0	0	0	0	0	0	0
ASV_290	0	0	0	0	0	0	0	0	0	0	0	246	0	0	43	0	0	0
ASV_291	0	10	0	0	45	59	83	0	0	0	47	0	0	0	0	0	0	41
ASV_292	80	24	0	153	0	0	0	0	0	0	0	0	25	0	0	0	0	0
ASV_293	43	0	0	93	0	0	0	0	0	0	0	0	143	0	0	0	0	0
ASV_294	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	58	0	0
ASV_295	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0
ASV_296	16	0	0	179	0	0	0	0	0	0	0	0	78	0	0	0	0	0
ASV_297	237	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_298	0	0	0	0	62	207	0	0	0	0	0	0	0	0	0	0	0	0
ASV_299	0	0	0	0	0	0	0	0	0	0	0	217	0	0	52	0	0	0
ASV_300	0	0	0	0	0	0	0	0	0	0	0	171	0	0	97	0	0	0
ASV_301	0	0	0	0	0	0	0	0	0	0	0	170	0	0	98	0	0	0
