Names,BioSample,AvgSpotLen,Bases,Bytes,Collection_Date,env_local_scale,env_medium,Experiment,Host_Diet,Host,Library Name,create_date,Sample Name,replicate,Region,Location,Sex,Sample_or_Control
SRR17060845,SAMN23482394,501,5039278,3954440,2011-03,Midgut,lumen content from sample M103IV,SRX13249723,Herbivorus - mainly red seaweed,Kyphosus cinerascens,M103IV,2021-11-29T02:09:00Z,M103_IV,,Oceania,Australia,,Sample
SRR17060846,SAMN23482385,601,264994880,192929588,2017-12,Midgut,lumen content from sample G138IV,SRX13249722,Herbivorus - mainly red seaweed,Kyphosus cinerascens,G138IV,2021-11-29T02:10:00Z,G138_IV,,Oceania,Australia,,Sample
SRR17060847,SAMN23482384,601,207832181,152445273,2017-12,Midgut,lumen content from sample G135IV,SRX13249721,Herbivorus - mainly red seaweed,Kyphosus cinerascens,G135IV,2021-11-29T02:10:00Z,G135_IV,,Oceania,Australia,,Sample
ERR3585831,SAMEA6061589,600,41680233,21005371,2018-05,Midgut,fecal material (ENVO_00002003),ERX3581773,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G196IV-16S,2019-12-09T07:09:00Z,G196_IV,,Oceania,New Zealand,,Sample
ERR3585832,SAMEA6061590,598,236145086,116077874,2018-05,Hindgut,fecal material (ENVO_00002003),ERX3581774,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G196V-16S,2019-12-09T07:09:00Z,G196_V,,Oceania,New Zealand,,Sample
ERR3585834,SAMEA6061592,600,29222137,15071818,2018-05,Midgut,fecal material (ENVO_00002003),ERX3581776,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G197IV-16S,2019-12-09T07:10:00Z,G197_IV,,Oceania,New Zealand,,Sample
ERR3585835,SAMEA6061593,598,78579881,38753053,2018-05,Hindgut,fecal material (ENVO_00002003),ERX3581777,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G197V-16S,2019-12-09T07:10:00Z,G197_V,,Oceania,New Zealand,,Sample
ERR3585837,SAMEA6061595,598,113151943,57870566,2018-05,Midgut,fecal material (ENVO_00002003),ERX3581779,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G198IV-16S,2019-12-09T07:10:00Z,G198_IV,,Oceania,New Zealand,,Sample
ERR3585838,SAMEA6061596,597,126001340,61842884,2018-05,Hindgut,fecal material (ENVO_00002003),ERX3581780,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G198V-16S,2019-12-09T07:10:00Z,G198V,,Oceania,New Zealand,,Sample
ERR3585840,SAMEA6061598,598,190680171,98119553,2018-05,Midgut,fecal material (ENVO_00002003),ERX3581782,Herbivorus,Kyphosus sydneyanus,KS.SCFA.G199IV-16S,2019-12-09T07:11:00Z,G199_IV,,Oceania,New Zealand,,Sample
